# X(m)	Y(m)	Z(m)
-0.3123	-0.5574	14.2096
-0.3924	-0.9006	17.6974
-1.1128	-1.4393	31.1476
-1.2503	-1.7855	30.1995
-0.7324	-1.0692	21.3737
-0.6617	-0.9275	19.3439
-0.4534	-0.7747	19.8413
-1.2464	-2.3542	30.8764
-2.1424	-1.9175	49.0766
-1.3839	-1.2884	33.0266
-0.8176	-1.0032	21.7038
-1.3013	-1.8592	31.4541
-1.3156	-2.4750	31.9367
-1.2037	-1.3055	30.0905
-0.4339	-1.1552	29.2754
-0.3357	-0.8732	22.0869
-1.7955	-2.2569	47.4186
-0.3882	-1.0427	17.4220
-1.1130	-2.1259	27.4117
-1.3826	-1.4834	34.5460
-1.1585	-2.2051	28.9459
-9.3384	2.7980	36.2518
-0.9973	-1.4534	29.0500
-1.1682	-1.6712	28.2827
